Date,Open,High,Low,Close,Adj Close,Volume
2004/12/27,108.43,108.559998,107.720001,107.760002,71.210938,5591200
2004/12/28,107.879997,108.470001,107.800003,108.400002,71.633842,3461100
2004/12/29,108.269997,108.309998,107.830002,108.239998,71.528107,4043900
2004/12/30,108.25,108.410004,107.769997,107.849998,71.270378,2786600
2004/12/31,107.93,108.190002,107.470001,107.510002,71.045708,4262800
2005/1/3,108.150002,108.589996,106.93,107.32,70.920113,11691300
2005/1/4,107.5,107.599998,105.889999,106.300003,70.246063,10628300
2005/1/5,106.300003,106.779999,105.709999,105.709999,69.856201,10885300
2005/1/6,106.129997,106.660004,105.830002,106.040001,70.074249,8238900
2005/1/7,106.330002,106.5,105.629997,105.839996,69.942116,8555700
2005/1/10,105.839996,106.629997,105.769997,106.199997,70.180031,6028100
2005/1/11,105.900002,105.910004,105.269997,105.519997,69.730637,7592600
2005/1/12,105.580002,106.230003,104.959999,106.029999,70.067665,10574200
2005/1/13,105.959999,106.099998,104.809998,104.949997,69.353989,7669700
2005/1/14,105.129997,105.650002,105.050003,105.440002,69.67775,5986900
2005/1/18,105.25,106.290001,105,106.160004,70.153587,6601700
2005/1/19,106.150002,106.25,105.230003,105.25,69.552208,6567900
2005/1/20,105.059998,105.480003,104.580002,104.760002,69.228432,8661700
2005/1/21,104.949997,105.029999,103.779999,103.839996,68.684708,7901200
2005/1/24,104.110001,104.309998,103.620003,103.75,68.625114,9877700
2005/1/25,104.089996,105.010002,104.050003,104.589996,69.180779,9751100
2005/1/26,104.919998,105.25,104.68,104.790001,69.313057,7851200
2005/1/27,104.449997,104.830002,104.209999,104.57,69.167557,8393800
2005/1/28,104.540001,104.650002,103.760002,104.440002,69.081596,7791600
2005/1/31,104.980003,105.050003,104.480003,104.800003,69.319695,5333900
2005/2/1,105.019997,105.639999,104.839996,105.400002,69.716583,4800300
2005/2/2,105.459999,106.129997,105.349998,105.879997,70.034019,4660100
2005/2/3,105.699997,105.949997,105.440002,105.900002,70.047325,4818700
2005/2/4,105.800003,107.209999,105.760002,107,70.774879,6413300
2005/2/7,106.93,107.269997,106.910004,107.010002,70.781494,3710300
2005/2/8,107.059998,107.419998,106.910004,107.25,70.940262,5046500
2005/2/9,107.419998,107.480003,106.629997,106.739998,70.602913,7444900
2005/2/10,107.029999,107.699997,106.93,107.5,71.105583,5221000
2005/2/11,107.419998,108.389999,107.139999,108.089996,71.49588,4722600
2005/2/14,108.010002,108.120003,107.839996,107.980003,71.423058,3689300
2005/2/15,108.059998,108.610001,107.919998,108.470001,71.7472,4711000
2005/2/16,108.279999,108.68,108.089996,108.449997,71.733978,4285800
2005/2/17,108.459999,108.559998,107.669998,107.720001,71.251106,5746600
2005/2/18,107.480003,107.839996,107.199997,107.809998,71.468628,4906500
2005/2/22,107.330002,107.669998,105.989998,106.010002,70.275314,8958900
2005/2/23,106.349998,106.949997,106.190002,106.830002,70.818932,6457800
2005/2/24,106.580002,107.550003,106.360001,107.410004,71.203377,7124200
2005/2/25,107.43,108.419998,107.300003,108.360001,71.833176,4984900
2005/2/28,108.110001,108.980003,107.260002,107.699997,71.395592,7471500
2005/3/1,107.760002,108.489998,107.760002,108.230003,71.74704,5316000
2005/3/2,107.809998,108.690002,107.739998,108.07,71.640915,7239700
2005/3/3,108.419998,108.669998,107.639999,108.25,71.760254,7779800
2005/3/4,108.910004,109.610001,108.650002,109.540001,72.61541,6123100
2005/3/7,109.389999,109.830002,109.300003,109.330002,72.476196,4124200
2005/3/8,109.290001,109.519997,108.959999,109.160004,72.363518,7533400
2005/3/9,108.830002,109.230003,108,108.010002,71.601105,5060900
2005/3/10,108.209999,108.730003,107.739998,108.470001,71.906097,5215200
2005/3/11,108.489998,108.809998,107.650002,107.839996,71.488426,3489300
2005/3/14,107.949997,108.160004,107.580002,108.139999,71.687325,3474500
2005/3/15,108.389999,108.480003,107.519997,107.57,71.309433,3926400
2005/3/16,106.949997,107.110001,106.190002,106.349998,70.500679,6444500
2005/3/17,106.559998,106.68,106.040001,106.290001,70.46096,4476200
2005/3/18,106.379997,106.440002,105.440002,105.959999,70.353348,10700300
2005/3/21,106.040001,106.120003,105.230003,105.419998,69.994835,7322400
2005/3/22,105.540001,106.029999,104.5,104.529999,69.4039,7066800
2005/3/23,104.489998,105.550003,104.209999,104.410004,69.324226,7267500
2005/3/24,104.720001,105.150002,104.349998,104.440002,69.344185,5058600
2005/3/28,104.599998,105.230003,104.559998,104.760002,69.556648,4968200
2005/3/29,104.610001,105.129997,103.860001,104.07,69.098511,7659600
2005/3/30,104.18,105.389999,104.18,105.339996,69.941734,5654100
2005/3/31,105.169998,105.32,104.800003,104.989998,69.70932,7374200
2005/4/1,105.43,105.620003,103.739998,104.050003,69.085228,7737700
2005/4/4,104.080002,104.82,103.459999,104.220001,69.198051,11559300
2005/4/5,104.290001,104.68,104.150002,104.589996,69.44371,4398700
2005/4/6,104.800003,105.239998,104.720001,105.019997,69.729218,4531300
2005/4/7,104.809998,105.580002,104.75,105.519997,70.061226,3852800
2005/4/8,105.449997,105.540001,104.519997,104.540001,69.410568,3649600
2005/4/11,104.790001,104.809998,104.379997,104.470001,69.364105,3187600
2005/4/12,104.199997,105.300003,103.559998,104.989998,69.70932,9085300
2005/4/13,104.919998,105.220001,103.75,103.980003,69.038712,8180200
2005/4/14,104.099998,104.169998,102.389999,102.400002,67.989639,10780100
2005/4/15,102.209999,102.599998,100.620003,100.699997,66.909302,12132300
2005/4/18,100.620003,101.010002,100.110001,100.550003,66.809586,13000100
2005/4/19,101.010002,101.5,100.800003,101.25,67.274719,7633400
2005/4/20,101.510002,101.779999,99.889999,100.139999,66.537193,12009900
2005/4/21,100.949997,102.290001,100.68,102.120003,67.852798,7323400
2005/4/22,101.900002,102.160004,100.620003,101.830002,67.66011,6159600
2005/4/25,102.050003,102.580002,101.879997,102.400002,68.038818,4631900
2005/4/26,102.059998,102.620003,101.43,101.510002,67.447449,6071100
2005/4/27,101.110001,102.169998,100.739998,101.900002,67.706657,10413200
2005/4/28,101.639999,101.830002,100.519997,100.519997,66.78968,7083400
2005/4/29,101.309998,101.980003,100.440002,101.879997,67.693329,10176500
2005/5/2,102.239998,102.599998,101.860001,102.580002,68.15844,5349200
2005/5/3,102.32,103.080002,102.050003,102.889999,68.364426,7114100
2005/5/4,103.010002,103.93,102.669998,103.769997,68.949127,8803600
2005/5/5,103.809998,104.080002,102.989998,103.5,68.769684,8842100
2005/5/6,103.919998,104.050003,103.400002,103.43,68.723198,5379900
2005/5/9,103.459999,103.879997,103.209999,103.75,68.935814,3912600
2005/5/10,103.360001,103.489998,102.5,102.699997,68.238159,6964900
2005/5/11,102.989998,103.25,101.5,103.019997,68.450783,7684300
2005/5/12,103.019997,103.339996,101.93,101.93,67.726555,5534400
2005/5/13,102.230003,102.470001,100.860001,101.669998,67.55381,11750400
2005/5/16,101.620003,102.709999,101.589996,102.639999,68.198265,5840400
2005/5/17,102.370003,103.550003,102.279999,103.489998,68.763107,5973700
2005/5/18,103.919998,105.059998,103.860001,104.839996,69.660088,8503700
2005/5/19,104.959999,105.199997,104.589996,105.139999,69.859421,5010200
2005/5/20,104.830002,104.849998,104.120003,104.629997,69.742714,6342600
2005/5/23,104.629997,105.5,104.629997,105.220001,70.136055,5310900
2005/5/24,104.919998,105.129997,104.629997,104.830002,69.87606,5147900
2005/5/25,104.709999,104.709999,104.160004,104.589996,69.716072,5065900
